entidad,caso,importe_asignado,direccion,resultado,fecha_llamado,cobrado
ADT0,22345816,337235.29,entrante,call_no_atiende,2026-01-16,0.00
ADT0,22345816,337235.29,entrante,call_promesa,2026-01-16,0.00
ADT0,22345827,508917.70,entrante,call_notificado_responsable,2026-01-06,0.00
ADT0,22345897,165151.79,entrante,call_notificado,2026-01-19,0.00
ADT0,22345897,165151.79,entrante,call_pago_tarjeta,2026-01-19,0.00
ADT0,22345918,100042.66,entrante,call_pago_a_confirmar,2026-01-19,0.00
ADT0,22628184,45496.50,entrante,call_notificado,2026-01-12,45496.50
ADT0,22628184,45496.50,entrante,call_pago_a_confirmar,2026-01-12,45496.50
ADT0,22628187,58420.65,entrante,call_promesa,2026-01-19,58420.65
ADT0,22628195,85789.29,entrante,call_promesa,2026-01-26,0.00
ADT0,22628199,44929.85,entrante,call_pago_tarjeta,2026-01-13,89852.89
ADT0,22628220,105603.39,entrante,call_pago_a_confirmar,2026-01-16,0.00
ADT0,22628225,31476.12,entrante,call_pago_tarjeta,2026-01-16,31476.12
ADT0,22628229,105401.09,entrante,call_pago_tarjeta,2026-01-19,105401.09
ADT0,22628256,46004.16,entrante,call_pago_tarjeta,2026-01-13,46004.16
ADT0,22628274,105401.09,entrante,call_pago_tarjeta,2026-01-09,105401.09
ADT0,22628316,29014.02,entrante,call_promesa,2026-01-16,0.00
ADT0,22628337,109658.68,entrante,call_notificado,2026-01-12,109658.68
ADT0,22628350,97852.87,entrante,call_promesa,2026-01-13,97852.87
ADT0,22628372,54081.74,entrante,call_pago_tarjeta,2026-01-16,54081.74
ADT0,22628374,51376.50,entrante,call_pago_a_confirmar,2026-01-14,0.00
ADT0,22628384,54710.71,entrante,call_pago_a_confirmar,2026-01-20,0.00
ADT0,22628434,104078.25,entrante,call_pago_a_confirmar,2026-01-14,104078.25
ADT0,22628438,49904.18,entrante,call_pago_a_confirmar,2026-01-12,49904.18
ADT0,22628481,46833.25,entrante,call_notificado_responsable,2026-01-23,0.00
ADT0,22628484,90350.29,entrante,call_pago_a_confirmar,2026-01-12,0.00
ADT0,22628484,90350.29,entrante,call_pago_a_confirmar,2026-01-23,90350.29
ADT0,22628484,90350.29,entrante,call_promesa,2026-01-09,0.00
ADT0,22628512,53036.89,entrante,call_no_atiende,2026-01-12,53036.89
ADT0,22628512,53036.89,entrante,call_promesa,2026-01-12,53036.89
ADT0,22628522,94952.94,entrante,call_pago_tarjeta,2026-01-12,94952.94
ADT0,22628525,99868.11,entrante,call_pago_a_confirmar,2026-01-30,0.00
ADT0,22628525,99868.11,entrante,call_promesa,2026-01-14,0.00
ADT0,22628540,88564.47,entrante,call_promesa,2026-01-12,88564.47
ADT0,22628565,85135.66,entrante,call_pago_tarjeta,2026-01-16,85135.66
ADT0,22628614,75162.28,entrante,call_promesa,2026-01-22,75162.28
ADT0,22628633,90578.92,entrante,call_pago_tarjeta,2026-01-10,90578.92
